Tipo Doc,Documento,Nombre,Apellido,Mail,Fecha de colaboracion,Forma de colaboracion,Cantidad
LE,7331147293,Kay,Paye,kpaye2t@ibm.com,10/13/2023,DONACION_VIANDAS,90
DNI,8274965841,Brenda,Kemish,bkemish2u@businesswire.com,12/23/2023,ENTREGA_TARJETAS,61
LC,7131168173,Alexander,Juggings,ajuggings2v@photobucket.com,7/7/2024,DINERO,82
LC,2523993732,Eustace,Pomfrett,epomfrett2w@ezinearticles.com,8/2/2023,REDISTRIBUCION_VIANDAS,66
LC,3986238727,Marina,Crosoer,mcrosoer2x@51.la,10/29/2023,ENTREGA_TARJETAS,1
LE,4432928387,Rebekah,Kenney,rkenney2y@cnn.com,4/23/2023,DONACION_VIANDAS,40
LC,4193047768,Betsy,Langstrath,blangstrath2z@desdev.cn,10/12/2023,REDISTRIBUCION_VIANDAS,21
LC,4002816311,Lizbeth,Tumelty,ltumelty30@hud.gov,3/8/2024,DINERO,54
LC,0936775513,Yorgo,Blackhurst,yblackhurst31@bbb.org,5/22/2024,ENTREGA_TARJETAS,55
LE,7392738623,Rees,Bunten,rbunten32@tinyurl.com,3/18/2024,DONACION_VIANDAS,50
LE,9545237171,Lindsay,Braunter,lbraunter33@liveinternet.ru,6/5/2023,ENTREGA_TARJETAS,54
DNI,7733959985,Tanner,Hayhow,thayhow34@weather.com,3/14/2023,ENTREGA_TARJETAS,5
LE,1410246140,Candra,Blanchard,cblanchard35@cbsnews.com,2/7/2024,DINERO,2
DNI,0870779842,Tanhya,Gromley,tgromley36@amazonaws.com,4/11/2024,REDISTRIBUCION_VIANDAS,53
DNI,2675331627,Shelly,Bradick,sbradick37@bloomberg.com,7/28/2024,DINERO,91
LE,8122151132,Audie,Hawler,ahawler38@nifty.com,7/3/2023,REDISTRIBUCION_VIANDAS,18
LC,5296435559,Cass,Brierly,cbrierly39@altervista.org,7/12/2023,REDISTRIBUCION_VIANDAS,2
LE,0479941459,Harman,Edson,hedson3a@redcross.org,5/4/2024,REDISTRIBUCION_VIANDAS,24
LE,1657907457,Lina,Crafter,lcrafter3b@blogtalkradio.com,12/16/2023,DONACION_VIANDAS,43
LE,9852582798,Clerissa,Androsik,candrosik3c@forbes.com,5/5/2023,DINERO,85
LE,9553740421,Tomaso,Bagby,tbagby3d@virginia.edu,6/15/2024,REDISTRIBUCION_VIANDAS,30
LE,8420769916,Gabbie,Andrioletti,gandrioletti3e@tiny.cc,2/5/2023,DONACION_VIANDAS,87
DNI,4440526357,Darlleen,Oppery,doppery3f@shutterfly.com,5/12/2024,REDISTRIBUCION_VIANDAS,99
DNI,2114794040,Giffard,Lamartine,glamartine3g@miibeian.gov.cn,10/10/2023,ENTREGA_TARJETAS,60
LE,0137225148,Susanetta,Betke,sbetke3h@bravesites.com,7/7/2024,DONACION_VIANDAS,78
LE,0910509824,Alonso,Kenion,akenion3i@time.com,12/1/2023,ENTREGA_TARJETAS,54
LE,4516298260,Rhoda,Irvin,rirvin3j@theglobeandmail.com,4/26/2023,ENTREGA_TARJETAS,97
DNI,5812100586,Nettie,Vedntyev,nvedntyev3k@unicef.org,9/4/2024,ENTREGA_TARJETAS,72
LC,4937368214,Emylee,Tinker,etinker3l@devhub.com,5/19/2024,DINERO,85
DNI,2070549860,Stevena,Dorgan,sdorgan3m@google.com.hk,4/29/2023,DONACION_VIANDAS,27
DNI,7235933933,Hale,Doerrling,hdoerrling3n@networksolutions.com,4/17/2023,ENTREGA_TARJETAS,97
DNI,8747599960,Kirk,Cello,kcello3o@nymag.com,1/2/2024,REDISTRIBUCION_VIANDAS,12
LE,1090421559,Bobbee,Pascall,bpascall3p@gravatar.com,2/25/2024,DONACION_VIANDAS,23
LE,9330827268,Barnaby,Robuchon,brobuchon3q@weebly.com,4/1/2023,DONACION_VIANDAS,63
DNI,9053611150,Pietro,Margaret,pmargaret3r@slashdot.org,8/9/2024,ENTREGA_TARJETAS,72
LC,0213634872,Desiri,Kwietek,dkwietek3s@cdc.gov,10/14/2023,REDISTRIBUCION_VIANDAS,20
DNI,5658451264,Raynor,Markwick,rmarkwick3t@privacy.gov.au,4/1/2024,DONACION_VIANDAS,5
DNI,1934289108,Petr,Rawsen,prawsen3u@geocities.com,10/31/2023,ENTREGA_TARJETAS,45
DNI,0606156321,Jillane,Orae,jorae3v@ucoz.ru,8/21/2023,DINERO,28
LC,8990468671,Collen,Riddoch,criddoch3w@amazonaws.com,3/19/2023,REDISTRIBUCION_VIANDAS,64
LC,0233115048,Eugene,Damrell,edamrell3x@ezinearticles.com,12/5/2023,ENTREGA_TARJETAS,5
LE,9335073261,Garwood,Spacie,gspacie3y@google.it,2/27/2024,REDISTRIBUCION_VIANDAS,91
LC,5042126139,Wainwright,Monini,wmonini3z@twitter.com,9/20/2023,DINERO,69
LC,5162990175,Allen,Heineken,aheineken40@cbsnews.com,1/6/2024,REDISTRIBUCION_VIANDAS,17
DNI,8305398722,Geoff,Herreran,gherreran41@webs.com,6/11/2023,DINERO,64
DNI,0444631631,Glenden,Novotni,gnovotni42@ca.gov,2/3/2024,DONACION_VIANDAS,71
LC,4270037059,Aleta,Parbrook,aparbrook43@feedburner.com,5/23/2023,DONACION_VIANDAS,87
DNI,4530243729,Stephannie,Start,sstart44@answers.com,3/1/2024,DINERO,60
DNI,3352193010,Ermina,Vischi,evischi45@spotify.com,6/2/2023,DONACION_VIANDAS,46
LC,8527052954,Jessie,Berks,jberks46@intel.com,8/26/2023,DINERO,6
LC,6273601291,Jyoti,Shimmans,jshimmans47@berkeley.edu,2/12/2024,DINERO,26
LC,2865705072,Belinda,Curedell,bcuredell48@stumbleupon.com,3/9/2023,ENTREGA_TARJETAS,80
LE,6166691114,Neysa,Morrid,nmorrid49@patch.com,5/10/2024,DINERO,20
LC,6233564743,Clara,Gyles,cgyles4a@facebook.com,6/25/2023,REDISTRIBUCION_VIANDAS,37
LE,3368745093,Milty,Fishleigh,mfishleigh4b@com.com,7/27/2024,REDISTRIBUCION_VIANDAS,14
DNI,4103442352,Zilvia,Tine,ztine4c@last.fm,7/16/2024,ENTREGA_TARJETAS,79
LE,4022619724,Pate,Magowan,pmagowan4d@archive.org,6/8/2023,ENTREGA_TARJETAS,100
DNI,8670793318,Alleen,Reary,areary4e@army.mil,5/28/2023,REDISTRIBUCION_VIANDAS,99
LE,8693707396,Rolland,Dunning,rdunning4f@berkeley.edu,8/25/2024,REDISTRIBUCION_VIANDAS,11
LC,8726837552,Jarred,Habbal,jhabbal4g@sciencedaily.com,7/2/2023,DONACION_VIANDAS,79
DNI,2025327560,Penny,Gatward,pgatward4h@etsy.com,7/20/2024,REDISTRIBUCION_VIANDAS,47
DNI,1731329636,Ettie,Hellyer,ehellyer4i@usda.gov,5/31/2023,ENTREGA_TARJETAS,32
LE,6751696345,Lemar,Mozzetti,lmozzetti4j@narod.ru,8/11/2024,REDISTRIBUCION_VIANDAS,90
LE,4126159762,Abigail,Gent,agent4k@cbsnews.com,12/25/2023,DINERO,27
LE,9920694746,Quincy,Sallinger,qsallinger4l@google.com,4/10/2024,REDISTRIBUCION_VIANDAS,88
DNI,8030102623,Farrell,Derrington,fderrington4m@nbcnews.com,4/24/2023,DONACION_VIANDAS,58
LC,1814006672,Carolus,Terlinden,cterlinden4n@163.com,6/10/2024,REDISTRIBUCION_VIANDAS,22
LE,4597785930,Gus,Dionis,gdionis4o@tmall.com,8/16/2024,ENTREGA_TARJETAS,7
LC,7711922728,Fabio,Dumblton,fdumblton4p@moonfruit.com,11/5/2023,REDISTRIBUCION_VIANDAS,93
LC,7188214999,Jamal,Errowe,jerrowe4q@quantcast.com,5/12/2024,REDISTRIBUCION_VIANDAS,92
DNI,9721202495,Fania,Kindle,fkindle4r@wordpress.org,8/10/2023,ENTREGA_TARJETAS,96
DNI,6608968426,Irv,Daughtrey,idaughtrey4s@nps.gov,3/10/2024,REDISTRIBUCION_VIANDAS,80
DNI,4685237986,Marysa,Moulden,mmoulden4t@cargocollective.com,9/12/2023,DINERO,75
LC,8308433596,Hieronymus,Andriesse,handriesse4u@themeforest.net,12/18/2023,REDISTRIBUCION_VIANDAS,73
LE,8613331270,Emory,Greenhow,egreenhow4v@mapquest.com,2/27/2023,DINERO,98
LC,7944913292,Cari,Woolpert,cwoolpert4w@biglobe.ne.jp,4/3/2024,DINERO,95
LE,4232730486,Alexandre,Jermin,ajermin4x@mapquest.com,3/19/2023,DONACION_VIANDAS,88
DNI,9455539772,Eolande,Avrahamof,eavrahamof4y@yelp.com,5/18/2023,DONACION_VIANDAS,58
LE,4814022360,Eliot,Gripton,egripton4z@google.nl,5/4/2023,ENTREGA_TARJETAS,48
LC,9678066602,Abe,Lofthouse,alofthouse50@cmu.edu,8/2/2023,DONACION_VIANDAS,23
DNI,0820614513,Tommie,Thirwell,tthirwell51@go.com,12/22/2023,REDISTRIBUCION_VIANDAS,34
LE,1837009112,Twila,Elwyn,telwyn52@ocn.ne.jp,8/2/2023,ENTREGA_TARJETAS,67
DNI,8414877389,Casey,Sheal,csheal53@i2i.jp,6/3/2023,ENTREGA_TARJETAS,67
LC,5800263531,Shadow,Jeenes,sjeenes54@google.pl,3/4/2023,REDISTRIBUCION_VIANDAS,56
DNI,7652781744,Iosep,Shemmans,ishemmans55@theguardian.com,2/25/2024,REDISTRIBUCION_VIANDAS,74
DNI,0902560670,Quintin,Hynde,qhynde56@usa.gov,11/15/2023,DONACION_VIANDAS,32
LE,7344320940,Vivyan,Studd,vstudd57@blinklist.com,7/1/2023,ENTREGA_TARJETAS,5
DNI,6777035222,Fidole,Axell,faxell58@prweb.com,1/31/2024,REDISTRIBUCION_VIANDAS,91
DNI,0721898181,Georges,Eric,geric59@smh.com.au,5/19/2023,DONACION_VIANDAS,59
DNI,1310992258,Meryl,Yokley,myokley5a@prlog.org,12/27/2023,REDISTRIBUCION_VIANDAS,45
LE,8613316506,Mal,Malone,mmalone5b@slideshare.net,7/21/2023,ENTREGA_TARJETAS,40
LE,9971772922,Gabi,Smedley,gsmedley5c@un.org,5/6/2023,DONACION_VIANDAS,38
LC,1790534259,Galvan,Haggath,ghaggath5d@github.com,10/26/2023,ENTREGA_TARJETAS,62
LC,2624959157,Ibrahim,Gaiger,igaiger5e@cargocollective.com,1/29/2024,DINERO,26
LC,1255216727,Bryn,Rudolfer,brudolfer5f@symantec.com,7/25/2024,DINERO,17
DNI,8794487421,Anette,Mackrill,amackrill5g@sfgate.com,2/1/2024,REDISTRIBUCION_VIANDAS,5
DNI,2585844498,Daphna,Jude,djude5h@squarespace.com,7/16/2023,REDISTRIBUCION_VIANDAS,64
DNI,5498964099,Em,Marcam,emarcam5i@kickstarter.com,3/15/2023,DONACION_VIANDAS,60
LE,9924105397,Anthe,Bartol,abartol5j@free.fr,8/11/2023,DINERO,100
LC,7344076780,Kennan,Franz-Schoninger,kfranzschoninger5k@delicious.com,10/3/2023,DINERO,50
LE,6592602813,Kimberly,Dantesia,kdantesia5l@hao123.com,4/3/2023,ENTREGA_TARJETAS,77
DNI,0444852964,Georas,Schettini,gschettini5m@arizona.edu,1/14/2024,REDISTRIBUCION_VIANDAS,75
DNI,7960930236,Svend,Amiable,samiable5n@nifty.com,8/12/2023,ENTREGA_TARJETAS,86
LE,2863829025,Dick,Brolechan,dbrolechan5o@rakuten.co.jp,2/24/2023,DINERO,63
DNI,9717287007,Yettie,Garrison,ygarrison5p@oakley.com,5/13/2023,ENTREGA_TARJETAS,18
DNI,4434679635,Juana,Nolleth,jnolleth5q@slideshare.net,7/14/2024,DINERO,45
LC,4465610858,Brigid,Darkott,bdarkott5r@1und1.de,5/23/2023,DINERO,63
DNI,8089929362,Ermanno,Schooley,eschooley5s@cbsnews.com,3/2/2023,DINERO,41
LE,0893538779,Rhetta,felip,rfelip5t@hubpages.com,6/8/2024,DONACION_VIANDAS,53
LC,9121661375,Sully,Bruckmann,sbruckmann5u@spotify.com,9/22/2023,REDISTRIBUCION_VIANDAS,79
LE,6651968319,Papagena,Le land,pleland5v@360.cn,4/13/2023,REDISTRIBUCION_VIANDAS,57
DNI,3408234787,Niles,Dyball,ndyball5w@ted.com,9/3/2023,DONACION_VIANDAS,3
DNI,3161644743,Danella,Niche,dniche5x@soundcloud.com,12/8/2023,DONACION_VIANDAS,41
LE,2415906174,Tybalt,Brownill,tbrownill5y@comsenz.com,3/12/2023,DINERO,91
LE,3646276193,Andras,Wolfe,awolfe5z@tamu.edu,5/6/2024,DONACION_VIANDAS,92
DNI,7443166729,Cristi,Gatehouse,cgatehouse60@stanford.edu,7/8/2024,DINERO,55
LC,6803757498,Townie,Farden,tfarden61@addtoany.com,9/3/2024,REDISTRIBUCION_VIANDAS,88
DNI,5310197729,Brier,Babar,bbabar62@ovh.net,12/11/2023,DINERO,74
LE,3263635700,Tatum,Hinkensen,thinkensen63@sitemeter.com,6/4/2024,REDISTRIBUCION_VIANDAS,14
LC,3757410548,Bryna,Artist,bartist64@drupal.org,6/26/2024,REDISTRIBUCION_VIANDAS,13
DNI,6734946762,Nisse,Dudson,ndudson65@huffingtonpost.com,1/19/2024,DONACION_VIANDAS,15
LC,5376673200,Melanie,Mattei,mmattei66@whitehouse.gov,5/19/2023,DONACION_VIANDAS,99
LC,0319525414,Rhodie,Giovanardi,rgiovanardi67@omniture.com,10/9/2023,DONACION_VIANDAS,100
LE,7560115055,Cesaro,Lockney,clockney68@samsung.com,2/17/2023,REDISTRIBUCION_VIANDAS,79
LC,9520198342,Thorny,Conquer,tconquer69@tuttocitta.it,6/25/2023,ENTREGA_TARJETAS,66
LC,5203222983,Emogene,Stainfield,estainfield6a@theatlantic.com,6/25/2023,ENTREGA_TARJETAS,61
LC,9368399557,Burnaby,Freund,bfreund6b@tripod.com,5/2/2024,DONACION_VIANDAS,52
LC,6512181468,Ashley,McMahon,amcmahon6c@sun.com,8/17/2024,DINERO,19
DNI,2899575791,Drucy,Arkill,darkill6d@google.co.jp,8/21/2024,REDISTRIBUCION_VIANDAS,49
LC,2910009270,Gabriell,Verrechia,gverrechia6e@bandcamp.com,7/24/2023,DONACION_VIANDAS,5
DNI,5747003909,Linn,Tanfield,ltanfield6f@freewebs.com,4/23/2024,DONACION_VIANDAS,30
LC,5297524784,Ashton,Arcase,aarcase6g@ca.gov,7/26/2023,DONACION_VIANDAS,24
LE,6595834898,Teador,Gandy,tgandy6h@va.gov,10/10/2023,ENTREGA_TARJETAS,49
LC,1788853296,Berti,Coolahan,bcoolahan6i@princeton.edu,10/11/2023,DINERO,2
LC,1343277825,Winona,Sharply,wsharply6j@jiathis.com,12/21/2023,DINERO,91
DNI,7284714425,Jules,Lister,jlister6k@php.net,12/15/2023,ENTREGA_TARJETAS,86
LC,8396983348,Shea,Greveson,sgreveson6l@paypal.com,12/31/2023,REDISTRIBUCION_VIANDAS,66
LE,1634049527,Minnie,Cutbirth,mcutbirth6m@google.de,8/20/2023,REDISTRIBUCION_VIANDAS,43
LC,9542726988,Danny,Kasperski,dkasperski6n@barnesandnoble.com,1/16/2024,DINERO,33
LC,4168322211,Edik,Dobrowlski,edobrowlski6o@guardian.co.uk,6/21/2024,DONACION_VIANDAS,11
LE,3174939690,Charyl,Walak,cwalak6p@ovh.net,6/19/2024,DONACION_VIANDAS,98
DNI,0539106445,Misty,Steketee,msteketee6q@dailymotion.com,3/18/2024,REDISTRIBUCION_VIANDAS,53
LE,9902420885,Nikkie,Coleson,ncoleson6r@networkadvertising.org,7/8/2023,DINERO,30
DNI,9256942232,Earl,Vowden,evowden6s@woothemes.com,3/9/2024,DONACION_VIANDAS,56
DNI,0898417961,Arlena,Barthrop,abarthrop6t@scientificamerican.com,12/1/2023,DONACION_VIANDAS,11
DNI,7077225593,Robena,Barenski,rbarenski6u@cnbc.com,10/21/2023,DONACION_VIANDAS,66
LE,6449481137,Jameson,Mahoney,jmahoney6v@google.com.au,4/24/2023,REDISTRIBUCION_VIANDAS,59
LC,3398179606,Cami,Jans,cjans6w@bloglovin.com,2/21/2023,DONACION_VIANDAS,63
LE,6607413641,Eada,Maffioletti,emaffioletti6x@sun.com,6/7/2023,DONACION_VIANDAS,47
LE,8826756821,Malena,Wilse,mwilse6y@icio.us,8/31/2024,REDISTRIBUCION_VIANDAS,6
LE,1978595786,Zorina,Attwoul,zattwoul6z@theguardian.com,2/24/2024,ENTREGA_TARJETAS,57
DNI,8999708128,Ollie,Parrot,oparrot70@themeforest.net,12/10/2023,ENTREGA_TARJETAS,82
LE,7169288753,Ewan,Pieper,epieper71@cloudflare.com,3/10/2023,DINERO,3
LC,0037981188,Joaquin,Cathcart,jcathcart72@si.edu,11/4/2023,ENTREGA_TARJETAS,5
LE,0843331461,Mignonne,Wicklin,mwicklin73@ning.com,5/9/2024,REDISTRIBUCION_VIANDAS,70
